dp=1,dp=2/min,dp=2/max,dp=4/min,dp=4/max
681.4491577,413.603686,479.1257935,108.2871933,175.5463257
418.5892944,316.8001658,398.1914469,205.1959991,366.6988831
425.0118408,265.3723246,316.687088,167.9601746,223.271286
355.2778625,223.1379191,266.2544149,107.9767914,209.6634216
260.8652954,193.1604513,222.0908051,138.8170471,199.6314545
264.7549744,174.2315623,210.0212351,109.3925629,138.1389008
255.267807,163.6470947,176.5686442,91.83016968,116.7939911
217.5531921,159.9423625,180.9365896,96.2366333,155.032486
211.0620422,137.0921021,173.0695801,91.5675354,152.586319
195.3836823,116.9657847,153.8347346,51.39408112,120.6874619
211.052887,121.7328466,142.5743739,65.79048157,98.14274597
166.2604218,107.3874715,128.7743886,59.12940216,107.0314407
186.487854,115.5842857,132.1803945,62.58625412,87.80157471
177.7481232,109.4061381,142.7864532,46.86257935,119.9660187
176.0511627,108.9567223,119.9847082,59.77241898,91.09498596
171.985672,101.5476761,133.0337575,36.47142029,87.93275452
161.2462616,95.82374191,110.5105158,44.08000565,72.14364624
199.7660675,109.6722527,147.325002,50.52999496,106.2228394
158.08461,101.9029528,115.2220459,55.88843155,79.04636383
153.8218536,91.91636658,114.277715,39.93094635,92.1496582
171.396759,90.74705378,113.1899948,32.84090805,80.25367737
153.5232239,91.86981074,105.878479,52.84480667,70.07395172
192.95401,103.516702,119.428894,37.68029404,75.18322754
145.8644562,84.26188787,99.02043279,33.8909874,54.86169052
149.5470276,87.1896464,105.9621607,36.02687836,59.49999237
163.7198792,91.9932785,104.9269651,39.29851532,50.37512589
173.8433075,101.5584971,122.0719833,43.39746857,85.84669495
166.3382874,89.18190765,124.0805206,33.31750488,94.95050812
146.1851196,88.22086843,108.6358337,45.09915924,86.90852356
141.6362915,83.5198377,92.61978277,41.69572067,49.30777359
